,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
rouge1,1.0,0.8977024253763211,0.8660647103085026,0.7589319829672972,0.6942460062228101,0.7265889945950537
rouge2,0.8977024253763211,1.0,0.8909073691707812,0.8445343149684693,0.7479298535601011,0.8271757008091531
rougeL,0.8660647103085026,0.8909073691707812,1.0,0.86423473580716,0.7814968585758393,0.8303874223943469
bertscore_precision,0.7589319829672972,0.8445343149684693,0.86423473580716,1.0,0.8586466165413534,0.9428571428571428
bertscore_recall,0.6942460062228101,0.7479298535601011,0.7814968585758393,0.8586466165413534,1.0,0.9548872180451128
bertscore_f1,0.7265889945950537,0.8271757008091531,0.8303874223943469,0.9428571428571428,0.9548872180451128,1.0
