,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
rouge1,1.0,0.9187494851505899,0.943450348398068,0.8440084686187278,0.8175730265998483,0.839090741999703
rouge2,0.9187494851505899,1.0,0.9574780499495169,0.7259925790625036,0.7249359096224675,0.7332174709128434
rougeL,0.943450348398068,0.9574780499495169,1.0,0.8382611872317095,0.8243241369419818,0.8398374241540681
bertscore_precision,0.8440084686187278,0.7259925790625036,0.8382611872317095,1.0,0.958538479407207,0.9887949442454521
bertscore_recall,0.8175730265998483,0.7249359096224675,0.8243241369419818,0.958538479407207,1.0,0.9903349804823665
bertscore_f1,0.839090741999703,0.7332174709128434,0.8398374241540681,0.9887949442454521,0.9903349804823665,1.0
